date,sentiment
2024-11-18,negative
2024-11-18,negative
2024-11-17,negative
2024-11-17,positive
2024-11-16,neutral
2024-11-15,negative
2024-11-15,neutral
2024-11-14,neutral
2024-11-14,positive
2024-11-13,negative
2024-11-13,neutral
2024-11-12,neutral
2024-11-12,positive
2024-11-12,negative
2024-11-12,positive
2024-11-12,negative
2024-11-11,negative
2024-11-11,negative
2024-11-11,negative
2024-11-11,positive
2024-11-10,neutral
2024-11-08,neutral
2024-11-07,neutral
2024-11-06,positive
2024-11-05,positive
2024-11-04,negative
2024-11-04,neutral
2024-11-02,neutral
2024-11-01,neutral
2024-10-31,negative
2024-10-30,neutral
2024-10-29,negative
2024-10-29,negative
2024-10-28,negative
2024-10-25,positive
2024-10-25,neutral
2024-10-24,positive
2024-10-23,negative
2024-10-22,negative
2024-10-21,negative
2024-10-21,negative
2024-10-20,positive
2024-10-18,neutral
2024-10-17,positive
2024-10-17,negative
2024-10-17,positive
2024-10-16,negative
2024-10-16,negative
2024-10-16,neutral
2024-10-15,neutral
2024-10-15,neutral
2024-10-15,neutral
2024-10-15,positive
2024-10-15,positive
2024-10-14,neutral
2024-10-14,positive
2024-10-11,positive
2024-10-10,negative
2024-10-09,positive
2024-10-09,neutral
2024-10-08,neutral
2024-10-08,neutral
2024-10-08,positive
2024-10-07,negative
2024-10-04,positive
2024-10-04,positive
2024-10-04,negative
2024-10-03,neutral
2024-10-02,negative
2024-10-02,positive
2024-10-01,negative
2024-10-01,neutral
2024-10-01,negative
2024-10-01,neutral
2024-10-01,negative
2024-10-01,neutral
2024-09-30,neutral
2024-09-28,neutral
2024-09-27,negative
2024-09-26,neutral
2024-09-26,neutral
2024-09-26,positive
2024-09-25,negative
2024-09-24,positive
2024-09-23,negative
2024-09-20,neutral
2024-09-19,positive
2024-09-18,neutral
2024-09-17,neutral
2024-09-17,neutral
2024-09-17,negative
2024-09-17,neutral
2024-09-17,positive
2024-09-16,positive
2024-09-14,neutral
2024-09-13,neutral
2024-09-13,negative
2024-09-12,positive
2024-09-11,neutral
2024-09-11,neutral
2024-09-09,positive
2024-09-06,negative
2024-09-05,negative
2024-09-04,neutral
2024-09-04,neutral
2024-09-04,negative
2024-09-04,negative
2024-09-04,negative
2024-09-04,negative
2024-09-04,negative
2024-09-03,negative
2024-09-03,negative
2024-09-03,positive
2024-09-03,neutral
2024-09-03,negative
2024-08-30,negative
2024-08-29,positive
2024-08-29,neutral
2024-08-29,negative
2024-08-29,positive
2024-08-28,negative
2024-08-28,negative
2024-08-28,negative
2024-08-28,neutral
2024-08-28,positive
2024-08-28,neutral
