date,sentiment
2023-06-19,positive
2023-06-18,neutral
2023-06-16,positive
2023-06-15,neutral
2023-06-13,neutral
2023-06-09,positive
2023-05-31,negative
2023-05-31,positive
2023-05-30,positive
2023-05-30,negative
2023-05-24,negative
2023-05-22,negative
2023-05-18,positive
2023-05-17,neutral
2023-05-16,positive
2023-05-16,positive
2023-05-15,negative
2023-05-11,neutral
2023-05-05,negative
2023-05-03,negative
2023-05-01,positive
2023-04-28,positive
2023-04-28,negative
2023-04-28,positive
2023-04-27,positive
2023-04-27,negative
2023-04-27,positive
2023-04-27,negative
2023-04-27,positive
2023-04-27,negative
2023-04-27,negative
2023-04-24,negative
2023-04-24,negative
2023-04-24,negative
2023-04-19,negative
2023-04-18,negative
2023-04-18,neutral
2023-04-17,negative
2023-04-14,positive
2023-04-14,positive
2023-04-14,neutral
2023-04-12,positive
2023-04-11,positive
2023-04-11,positive
2023-04-11,negative
2023-04-05,negative
2023-04-05,negative
2023-04-03,negative
2023-04-03,positive
2023-03-30,negative
2023-03-29,positive
2023-03-29,positive
2023-03-27,negative
2023-03-27,neutral
2023-03-22,positive
2023-03-22,positive
2023-03-21,negative
2023-03-20,neutral
2023-03-16,positive
2023-03-09,negative
2023-03-08,positive
2023-02-23,positive
2023-02-23,positive
2023-02-22,negative
2023-02-22,negative
2023-02-22,negative
2023-02-21,negative
2023-02-21,negative
2023-02-21,negative
2023-02-15,negative
2023-02-15,negative
2023-02-14,negative
2023-02-10,positive
2023-02-08,negative
2023-02-08,negative
2023-02-08,neutral
2023-02-02,positive
2023-02-01,negative
2023-01-31,negative
2023-01-27,negative
2023-01-27,negative
2023-01-27,negative
2023-01-27,neutral
2023-01-27,negative
2023-01-26,negative
2023-01-26,neutral
2023-01-26,neutral
2023-01-26,negative
2023-01-24,negative
2023-01-23,neutral
2023-01-20,negative
2023-01-20,neutral
2023-01-20,negative
2023-01-19,negative
2023-01-12,negative
2023-01-10,negative
2023-01-10,negative
2023-01-10,neutral
2023-01-03,negative
2022-12-31,negative
2022-12-29,neutral
2022-12-24,negative
2022-12-19,negative
2022-12-14,positive
2022-12-13,negative
2022-12-13,negative
2022-12-06,positive
2022-12-05,negative
2022-12-05,negative
2022-11-23,positive
2022-11-22,positive
2022-11-14,positive
2022-11-11,positive
2022-11-11,positive
2022-11-09,negative
2022-11-04,negative
2022-11-02,negative
2022-10-28,positive
2022-10-28,positive
2022-10-28,positive
2022-10-27,negative
2022-10-27,positive
2022-10-27,negative
2022-10-26,positive
2022-10-25,positive
2022-10-25,neutral
2022-10-25,neutral
2022-10-24,negative
2022-10-24,neutral
2022-10-21,positive
2022-10-20,negative
2022-10-19,negative
2022-10-18,negative
2022-10-17,negative
2022-10-14,negative
2022-10-12,negative
2022-10-12,negative
2022-10-11,neutral
2022-10-11,neutral
2022-10-10,negative
2022-10-10,negative
2022-10-06,negative
2022-10-04,positive
2022-09-30,negative
2022-09-29,negative
2022-09-29,negative
2022-09-27,neutral
2022-09-27,negative
2022-09-26,negative
2022-09-26,neutral
2022-09-25,negative
2022-09-22,negative
2022-09-20,negative
2022-09-16,neutral
2022-09-13,negative
2022-09-12,negative
2022-09-09,neutral
2022-09-08,negative
2022-09-08,negative
2022-09-06,positive
2022-09-02,neutral
2022-08-23,positive
2022-08-23,neutral
2022-08-22,negative
2022-08-18,positive
2022-08-16,negative
2022-08-16,negative
2022-08-10,positive
